"sample_id","initial_ploidy","dose_mg","dose","treatment_status","day","tumor_volume","tumor_volume_change","series_type","reference_n","control_summary","highlight_day","is_highlight_day","tgi_measure"
"2N-A1-0","2N",0,"0mg/kg","untreated control",0,40,0,"individual mouse",NA,"mean",17,FALSE,"TGI_percent_Day_17"
"2N-A1-0","2N",0,"0mg/kg","untreated control",3,125.44,85.44,"individual mouse",NA,"mean",17,FALSE,"TGI_percent_Day_17"
"2N-A1-0","2N",0,"0mg/kg","untreated control",7,274.44,234.44,"individual mouse",NA,"mean",17,FALSE,"TGI_percent_Day_17"
"2N-A1-0","2N",0,"0mg/kg","untreated control",10,689.7,649.7,"individual mouse",NA,"mean",17,FALSE,"TGI_percent_Day_17"
"2N-A1-0","2N",0,"0mg/kg","untreated control",14,778.53,738.53,"individual mouse",NA,"mean",17,FALSE,"TGI_percent_Day_17"
"2N-A1-0","2N",0,"0mg/kg","untreated control",17,1056.3,1016.3,"individual mouse",NA,"mean",17,TRUE,"TGI_percent_Day_17"
"2N-A1-0","2N",0,"0mg/kg","untreated control",21,1245.46,1205.46,"individual mouse",NA,"mean",17,FALSE,"TGI_percent_Day_17"
"2N-A1-0","2N",0,"0mg/kg","untreated control",24,1916.6,1876.6,"individual mouse",NA,"mean",17,FALSE,"TGI_percent_Day_17"
"2N-A1-0","2N",0,"0mg/kg","untreated control",27,1767.87,1727.87,"individual mouse",NA,"mean",17,FALSE,"TGI_percent_Day_17"
"2N-A1-0","2N",0,"0mg/kg","untreated control",31,1729.65,1689.65,"individual mouse",NA,"mean",17,FALSE,"TGI_percent_Day_17"
"2N-A1-0","2N",0,"0mg/kg","untreated control",34,1729.65,1689.65,"individual mouse",NA,"mean",17,FALSE,"TGI_percent_Day_17"
"2N-A1-0","2N",0,"0mg/kg","untreated control",38,1729.65,1689.65,"individual mouse",NA,"mean",17,FALSE,"TGI_percent_Day_17"
"2N-A1-LR","2N",0,"0mg/kg","untreated control",0,133.43,0,"individual mouse",NA,"mean",17,FALSE,"TGI_percent_Day_17"
"2N-A1-LR","2N",0,"0mg/kg","untreated control",3,379.91,246.48,"individual mouse",NA,"mean",17,FALSE,"TGI_percent_Day_17"
"2N-A1-LR","2N",0,"0mg/kg","untreated control",7,459.47,326.04,"individual mouse",NA,"mean",17,FALSE,"TGI_percent_Day_17"
"2N-A1-LR","2N",0,"0mg/kg","untreated control",10,567.09,433.66,"individual mouse",NA,"mean",17,FALSE,"TGI_percent_Day_17"
"2N-A1-LR","2N",0,"0mg/kg","untreated control",14,958.81,825.38,"individual mouse",NA,"mean",17,FALSE,"TGI_percent_Day_17"
"2N-A1-LR","2N",0,"0mg/kg","untreated control",17,932.14,798.71,"individual mouse",NA,"mean",17,TRUE,"TGI_percent_Day_17"
"2N-A1-LR","2N",0,"0mg/kg","untreated control",21,766.32,632.89,"individual mouse",NA,"mean",17,FALSE,"TGI_percent_Day_17"
"2N-A1-LR","2N",0,"0mg/kg","untreated control",24,1441.37,1307.94,"individual mouse",NA,"mean",17,FALSE,"TGI_percent_Day_17"
"2N-A1-LR","2N",0,"0mg/kg","untreated control",27,1902.76,1769.33,"individual mouse",NA,"mean",17,FALSE,"TGI_percent_Day_17"
"2N-A1-LR","2N",0,"0mg/kg","untreated control",31,2622.36,2488.93,"individual mouse",NA,"mean",17,FALSE,"TGI_percent_Day_17"
"2N-A1-LR","2N",0,"0mg/kg","untreated control",34,2622.36,2488.93,"individual mouse",NA,"mean",17,FALSE,"TGI_percent_Day_17"
"2N-A1-LR","2N",0,"0mg/kg","untreated control",38,2622.36,2488.93,"individual mouse",NA,"mean",17,FALSE,"TGI_percent_Day_17"
