"panel","pseudotime","mean_ecdf","curve_label","color_group","line_group","n_samples.x","test_design","comparison","group_a","group_b","stratified_by_analysis_group","n_samples.y","n_group_a","n_group_b","observed_ecdf_rmse","observed_ecdf_ks","observed_ecdf_mean_abs","p_ecdf_rmse","p_ecdf_ks","p_ecdf_mean_abs","n_permutations","permutation_mode","method","q_ecdf_rmse_exploratory","q_ecdf_ks_exploratory","q_ecdf_mean_abs_exploratory","threshold","estimable","annotation"
"1. 0 vs treated",0,0.000227686703096539,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0238775510204082,0.0857142857142857,0.0440816326530612,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
"1. 0 vs treated",0.002,0.000227686703096539,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0238775510204082,0.0857142857142857,0.0440816326530612,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
"1. 0 vs treated",0.004,0.000227686703096539,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0238775510204082,0.0857142857142857,0.0440816326530612,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
"1. 0 vs treated",0.006,0.000227686703096539,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0238775510204082,0.0857142857142857,0.0440816326530612,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
"1. 0 vs treated",0.008,0.000455373406193078,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0238775510204082,0.0857142857142857,0.0440816326530612,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
"1. 0 vs treated",0.01,0.00145537340619308,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0238775510204082,0.0857142857142857,0.0440816326530612,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
"1. 0 vs treated",0.012,0.00271799966881934,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0238775510204082,0.0857142857142857,0.0440816326530612,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
"1. 0 vs treated",0.014,0.00463847294407246,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0238775510204082,0.0857142857142857,0.0440816326530612,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
"1. 0 vs treated",0.016,0.00830382093154561,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0238775510204082,0.0857142857142857,0.0440816326530612,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
"1. 0 vs treated",0.018,0.00953957215077118,"0mg/kg","0mg/kg","All",8,"sample_label_permutation","0_vs_30plus120","0mg/kg","treated",FALSE,16,8,8,0.037800328540575,0.0712209140744628,0.0300236113005118,0.0048,0.0224,0.0067,10000,"monte_carlo_label_permutation","initial_ploidy",0.0238775510204082,0.0857142857142857,0.0440816326530612,NA,TRUE,"0mg/kg n=8; treated n=8
RMSE=0.0378, P=0.0048
KS=0.07122, P=0.0224"
